Id	Print_Name	Inverted_Name
bmb	Bembe	Bembe
bmc	Biem	Biem
bmd	Baga Manduri	Manduri, Baga
bme	Limassa	Limassa
bmf	Bom	Bom
bmg	Bamwe	Bamwe
bmh	Kein	Kein
bmi	Bagirmi	Bagirmi
bmj	Bote-Majhi	Bote-Majhi
bmk	Ghayavi	Ghayavi
bml	Bomboli	Bomboli
bmm	Northern Betsimisaraka Malagasy	Malagasy, Northern Betsimisaraka
bmn	Bina (Papua New Guinea)	Bina (Papua New Guinea)
bmo	Bambalang	Bambalang
bmp	Bulgebi	Bulgebi
bmq	Bomu	Bomu
bmr	Muinane	Muinane
bms	Bilma Kanuri	Kanuri, Bilma
bmt	Biao Mon	Biao Mon
bmu	Somba-Siawari	Somba-Siawari
bmv	Bum	Bum
bmw	Bomwali	Bomwali
bmx	Baimak	Baimak
bmy	Bemba (Democratic Republic of Congo)	Bemba (Democratic Republic of Congo)
bmz	Baramu	Baramu
bna	Bonerate	Bonerate
bnb	Bookan	Bookan
bnc	Bontok	Bontok
bnd	Banda (Indonesia)	Banda (Indonesia)
bne	Bintauna	Bintauna
bnf	Masiwang	Masiwang
bng	Benga	Benga
bni	Bangi	Bangi
bnj	Eastern Tawbuid	Tawbuid, Eastern
bnk	Bierebo	Bierebo
bnl	Boon	Boon
bnm	Batanga	Batanga
bnn	Bunun	Bunun
bno	Bantoanon	Bantoanon
bnp	Bola	Bola
bnq	Bantik	Bantik
bnr	Butmas-Tur	Butmas-Tur
bns	Bundeli	Bundeli
bnu	Bentong	Bentong
bnv	Beneraf	Beneraf
bnv	Bonerif	Bonerif
bnv	Edwas	Edwas
bnw	Bisis	Bisis
bnx	Bangubangu	Bangubangu
bny	Bintulu	Bintulu
bnz	Beezen	Beezen
boa	Bora	Bora
bob	Aweer	Aweer
bod	Tibetan	Tibetan
boe	Mundabli	Mundabli
bof	Bolon	Bolon
bog	Bamako Sign Language	Bamako Sign Language
boh	Boma	Boma
boi	Barbareño	Barbareño
boj	Anjam	Anjam
bok	Bonjo	Bonjo
bol	Bole	Bole
bom	Berom	Berom
bon	Bine	Bine
boo	Tiemacèwè Bozo	Bozo, Tiemacèwè
bop	Bonkiman	Bonkiman
boq	Bogaya	Bogaya
bor	Borôro	Borôro
bos	Bosnian	Bosnian
bot	Bongo	Bongo
bou	Bondei	Bondei
bov	Tuwuli	Tuwuli
bow	Rema	Rema
box	Buamu	Buamu
boy	Bodo (Central African Republic)	Bodo (Central African Republic)
boz	Tiéyaxo Bozo	Bozo, Tiéyaxo
bpa	Dakaka	Dakaka
bpb	Barbacoas	Barbacoas
bpd	Banda-Banda	Banda-Banda
bpg	Bonggo	Bonggo
bph	Botlikh	Botlikh
bpi	Bagupi	Bagupi
bpj	Binji	Binji
bpk	Orowe	Orowe
bpl	Broome Pearling Lugger Pidgin	Broome Pearling Lugger Pidgin
bpm	Biyom	Biyom
bpn	Dzao Min	Dzao Min
bpo	Anasi	Anasi
bpp	Kaure	Kaure
bpq	Banda Malay	Malay, Banda
bpr	Koronadal Blaan	Blaan, Koronadal
bps	Sarangani Blaan	Blaan, Sarangani
bpt	Barrow Point	Barrow Point
bpu	Bongu	Bongu
bpv	Bian Marind	Marind, Bian
bpw	Bo (Papua New Guinea)	Bo (Papua New Guinea)
bpx	Palya Bareli	Bareli, Palya
bpy	Bishnupriya	Bishnupriya
bpz	Bilba	Bilba
bqa	Tchumbuli	Tchumbuli
bqb	Bagusa	Bagusa
bqc	Boko (Benin)	Boko (Benin)
bqd	Bung	Bung
bqf	Baga Kaloum	Baga Kaloum
bqg	Bago-Kusuntu	Bago-Kusuntu
bqh	Baima	Baima
bqi	Bakhtiari	Bakhtiari
bqj	Bandial	Bandial
bqk	Banda-Mbrès	Banda-Mbrès
bql	Bilakura	Bilakura
bqm	Wumboko	Wumboko
bqn	Bulgarian Sign Language	Bulgarian Sign Language
bqo	Balo	Balo
bqp	Busa	Busa
bqq	Biritai	Biritai
bqr	Burusu	Burusu
bqs	Bosngun	Bosngun
bqt	Bamukumbit	Bamukumbit
bqu	Boguru	Boguru
bqv	Begbere-Ejar	Begbere-Ejar
bqv	Koro Wachi	Koro Wachi
bqw	Buru (Nigeria)	Buru (Nigeria)
bqx	Baangi	Baangi
bqy	Bengkala Sign Language	Bengkala Sign Language
bqz	Bakaka	Bakaka
bra	Braj	Braj
brb	Lave	Lave
brc	Berbice Creole Dutch	Creole Dutch, Berbice
brd	Baraamu	Baraamu
bre	Breton	Breton
brf	Bera	Bera
brg	Baure	Baure
brh	Brahui	Brahui
bri	Mokpwe	Mokpwe
brj	Bieria	Bieria
brk	Birked	Birked
brl	Birwa	Birwa
brm	Barambu	Barambu
brn	Boruca	Boruca
bro	Brokkat	Brokkat
brp	Barapasi	Barapasi
brq	Breri	Breri
brr	Birao	Birao
brs	Baras	Baras
brt	Bitare	Bitare
bru	Eastern Bru	Bru, Eastern
brv	Western Bru	Bru, Western
brw	Bellari	Bellari
brx	Bodo (India)	Bodo (India)
bry	Burui	Burui
brz	Bilbil	Bilbil
bsa	Abinomn	Abinomn
bsb	Brunei Bisaya	Bisaya, Brunei
bsc	Bassari	Bassari
bsc	Oniyan	Oniyan
bse	Wushi	Wushi
bsf	Bauchi	Bauchi
bsg	Bashkardi	Bashkardi
bsh	Kati	Kati
bsi	Bassossi	Bassossi
bsj	Bangwinji	Bangwinji
bsk	Burushaski	Burushaski
bsl	Basa-Gumna	Basa-Gumna
bsm	Busami	Busami
bsn	Barasana-Eduria	Barasana-Eduria
bso	Buso	Buso
bsp	Baga Sitemu	Baga Sitemu
bsq	Bassa	Bassa
bsr	Bassa-Kontagora	Bassa-Kontagora
bss	Akoose	Akoose
bst	Basketo	Basketo
bsu	Bahonsuai	Bahonsuai
bsv	Baga Sobané	Baga Sobané
bsw	Baiso	Baiso
bsx	Yangkam	Yangkam
bsy	Sabah Bisaya	Bisaya, Sabah
bta	Bata	Bata
btc	Bati (Cameroon)	Bati (Cameroon)
btd	Batak Dairi	Batak Dairi
bte	Gamo-Ningi	Gamo-Ningi
btf	Birgit	Birgit
btg	Gagnoa Bété	Bété, Gagnoa
bth	Biatah Bidayuh	Bidayuh, Biatah
bti	Burate	Burate
btj	Bacanese Malay	Malay, Bacanese
btl	Bhatola	Bhatola
btm	Batak Mandailing	Batak Mandailing
btn	Ratagnon	Ratagnon
bto	Rinconada Bikol	Bikol, Rinconada
btp	Budibud	Budibud
btq	Batek	Batek
btr	Baetora	Baetora
bts	Batak Simalungun	Batak Simalungun
btt	Bete-Bendi	Bete-Bendi
btu	Batu	Batu
btv	Bateri	Bateri
btw	Butuanon	Butuanon
btx	Batak Karo	Batak Karo
bty	Bobot	Bobot
btz	Batak Alas-Kluet	Batak Alas-Kluet
bua	Buriat	Buriat
bub	Bua	Bua
buc	Bushi	Bushi
bud	Ntcham	Ntcham
bue	Beothuk	Beothuk
buf	Bushoong	Bushoong
bug	Buginese	Buginese
buh	Younuo Bunu	Bunu, Younuo
bui	Bongili	Bongili
buj	Basa-Gurmana	Basa-Gurmana
buk	Bugawac	Bugawac
bul	Bulgarian	Bulgarian
bum	Bulu (Cameroon)	Bulu (Cameroon)
bun	Sherbro	Sherbro
buo	Terei	Terei
bup	Busoa	Busoa
buq	Brem	Brem
bus	Bokobaru	Bokobaru
but	Bungain	Bungain
buu	Budu	Budu
buv	Bun	Bun
buw	Bubi	Bubi
bux	Boghom	Boghom
buy	Bullom So	Bullom So
buz	Bukwen	Bukwen
bva	Barein	Barein
bvb	Bube	Bube
bvc	Baelelea	Baelelea
bvd	Baeggu	Baeggu
bve	Berau Malay	Malay, Berau
bvf	Boor	Boor
bvg	Bonkeng	Bonkeng
bvh	Bure	Bure
bvi	Belanda Viri	Belanda Viri
bvj	Baan	Baan
bvk	Bukat	Bukat
bvl	Bolivian Sign Language	Bolivian Sign Language
bvm	Bamunka	Bamunka
bvn	Buna	Buna
bvo	Bolgo	Bolgo
bvq	Birri	Birri
bvr	Burarra	Burarra
bvt	Bati (Indonesia)	Bati (Indonesia)
bvu	Bukit Malay	Malay, Bukit
bvv	Baniva	Baniva
bvw	Boga	Boga
bvx	Dibole	Dibole
bvy	Baybayanon	Baybayanon
bvz	Bauzi	Bauzi
bwa	Bwatoo	Bwatoo
bwb	Namosi-Naitasiri-Serua	Namosi-Naitasiri-Serua
bwc	Bwile	Bwile
bwd	Bwaidoka	Bwaidoka
bwe	Bwe Karen	Karen, Bwe
bwf	Boselewa	Boselewa
bwg	Barwe	Barwe
bwh	Bishuo	Bishuo
bwi	Baniwa	Baniwa
bwj	Láá Láá Bwamu	Bwamu, Láá Láá
bwk	Bauwaki	Bauwaki
bwl	Bwela	Bwela
bwm	Biwat	Biwat
bwn	Wunai Bunu	Bunu, Wunai
bwo	Borna (Ethiopia)	Borna (Ethiopia)
bwo	Boro (Ethiopia)	Boro (Ethiopia)
bwp	Mandobo Bawah	Mandobo Bawah
bwq	Southern Bobo Madaré	Bobo Madaré, Southern
bwr	Bura-Pabir	Bura-Pabir
bws	Bomboma	Bomboma
bwt	Bafaw-Balong	Bafaw-Balong
bwu	Buli (Ghana)	Buli (Ghana)
bww	Bwa	Bwa
bwx	Bu-Nao Bunu	Bunu, Bu-Nao
bwy	Cwi Bwamu	Bwamu, Cwi
bwz	Bwisi	Bwisi
bxa	Bauro	Bauro
bxb	Belanda Bor	Bor, Belanda
bxc	Molengue	Molengue
bxd	Pela	Pela
bxe	Birale	Birale
bxf	Bilur	Bilur
bxg	Bangala	Bangala
bxh	Buhutu	Buhutu
bxi	Pirlatapa	Pirlatapa
bxj	Bayungu	Bayungu
bxk	Bukusu	Bukusu
bxk	Lubukusu	Lubukusu
bxl	Jalkunan	Jalkunan
bxm	Mongolia Buriat	Buriat, Mongolia
bxn	Burduna	Burduna
bxo	Barikanchi	Barikanchi
bxp	Bebil	Bebil
bxq	Beele	Beele
bxr	Russia Buriat	Buriat, Russia
bxs	Busam	Busam
bxu	China Buriat	Buriat, China
bxv	Berakou	Berakou
bxw	Bankagooma	Bankagooma
bxx	Borna (Democratic Republic of Congo)	Borna (Democratic Republic of Congo)
bxz	Binahari	Binahari
bya	Batak	Batak
byb	Bikya	Bikya
byc	Ubaghara	Ubaghara
byd	Benyadu'	Benyadu'
bye	Pouye	Pouye
byf	Bete	Bete
byg	Baygo	Baygo
byh	Bhujel	Bhujel
byi	Buyu	Buyu
byj	Bina (Nigeria)	Bina (Nigeria)
byk	Biao	Biao
byl	Bayono	Bayono
bym	Bidyara	Bidyara
byn	Bilin	Bilin
byn	Blin	Blin
byo	Biyo	Biyo
byp	Bumaji	Bumaji
byq	Basay	Basay
byr	Baruya	Baruya
byr	Yipma	Yipma
bys	Burak	Burak
byt	Berti	Berti
byv	Medumba	Medumba
byw	Belhariya	Belhariya
byx	Qaqet	Qaqet
byy	Buya	Buya
byz	Banaro	Banaro
bza	Bandi	Bandi
bzb	Andio	Andio
bzc	Southern Betsimisaraka Malagasy	Malagasy, Southern Betsimisaraka
bzd	Bribri	Bribri
bze	Jenaama Bozo	Bozo, Jenaama
bzf	Boikin	Boikin
bzg	Babuza	Babuza
bzh	Mapos Buang	Buang, Mapos
bzi	Bisu	Bisu
bzj	Belize Kriol English	Kriol English, Belize
bzk	Nicaragua Creole English	Creole English, Nicaragua
bzl	Boano (Sulawesi)	Boano (Sulawesi)
bzm	Bolondo	Bolondo
bzn	Boano (Maluku)	Boano (Maluku)
bzo	Bozaba	Bozaba
bzp	Kemberano	Kemberano
bzq	Buli (Indonesia)	Buli (Indonesia)
bzr	Biri	Biri
bzs	Brazilian Sign Language	Brazilian Sign Language
bzt	Brithenig	Brithenig
bzu	Burmeso	Burmeso
bzv	Bebe	Bebe
bzw	Basa (Nigeria)	Basa (Nigeria)
bzx	Kɛlɛngaxo Bozo	Bozo, Kɛlɛngaxo
bzy	Obanliku	Obanliku
bzz	Evant	Evant
caa	Chortí	Chortí
cab	Garifuna	Garifuna
cac	Chuj	Chuj
cad	Caddo	Caddo
cae	Laalaa	Laalaa
cae	Lehar	Lehar
caf	Southern Carrier	Carrier, Southern
cag	Nivaclé	Nivaclé
cah	Cahuarano	Cahuarano
caj	Chané	Chané
cak	Cakchiquel	Cakchiquel
cak	Kaqchikel	Kaqchikel
cal	Carolinian	Carolinian
cam	Cemuhî	Cemuhî
can	Chambri	Chambri
cao	Chácobo	Chácobo
cap	Chipaya	Chipaya
caq	Car Nicobarese	Nicobarese, Car
car	Galibi Carib	Carib, Galibi
cas	Tsimané	Tsimané
cat	Catalan	Catalan
cat	Valencian	Valencian
cav	Cavineña	Cavineña
caw	Callawalla	Callawalla
cax	Chiquitano	Chiquitano
cay	Cayuga	Cayuga
caz	Canichana	Canichana
cbb	Cabiyarí	Cabiyarí
cbc	Carapana	Carapana
cbd	Carijona	Carijona
cbe	Chipiajes	Chipiajes
cbg	Chimila	Chimila
cbh	Cagua	Cagua
cbi	Chachi	Chachi
cbj	Ede Cabe	Ede Cabe
cbk	Chavacano	Chavacano
cbl	Bualkhaw Chin	Chin, Bualkhaw
cbn	Nyahkur	Nyahkur
cbo	Izora	Izora
cbr	Cashibo-Cacataibo	Cashibo-Cacataibo
cbs	Cashinahua	Cashinahua
cbt	Chayahuita	Chayahuita
cbu	Candoshi-Shapra	Candoshi-Shapra
cbv	Cacua	Cacua
cbw	Kinabalian	Kinabalian
cby	Carabayo	Carabayo
cca	Cauca	Cauca
ccc	Chamicuro	Chamicuro
ccd	Cafundo Creole	Creole, Cafundo
cce	Chopi	Chopi
ccg	Samba Daka	Daka, Samba
cch	Atsam	Atsam
ccj	Kasanga	Kasanga
ccl	Cutchi-Swahili	Cutchi-Swahili
ccm	Malaccan Creole Malay	Creole Malay, Malaccan
cco	Comaltepec Chinantec	Chinantec, Comaltepec
ccp	Chakma	Chakma
ccr	Cacaopera	Cacaopera
cda	Choni	Choni
cde	Chenchu	Chenchu
cdf	Chiru	Chiru
cdg	Chamari	Chamari
cdh	Chambeali	Chambeali
cdi	Chodri	Chodri
cdj	Churahi	Churahi
cdm	Chepang	Chepang
cdn	Chaudangsi	Chaudangsi
cdo	Min Dong Chinese	Chinese, Min Dong
cdr	Cinda-Regi-Tiyal	Cinda-Regi-Tiyal
cds	Chadian Sign Language	Chadian Sign Language
cdy	Chadong	Chadong
cdz	Koda	Koda
cea	Lower Chehalis	Chehalis, Lower
ceb	Cebuano	Cebuano
ceg	Chamacoco	Chamacoco
cek	Eastern Khumi Chin	Chin, Eastern Khumi
cen	Cen	Cen
ces	Czech	Czech
cet	Centúúm	Centúúm
cfa	Dijim-Bwilim	Dijim-Bwilim
cfd	Cara	Cara
cfg	Como Karim	Como Karim
cfm	Falam Chin	Chin, Falam
cga	Changriwa	Changriwa
cgc	Kagayanen	Kagayanen
cgg	Chiga	Chiga
cgk	Chocangacakha	Chocangacakha
cha	Chamorro	Chamorro
chb	Chibcha	Chibcha
chc	Catawba	Catawba
chd	Highland Oaxaca Chontal	Chontal, Highland Oaxaca
che	Chechen	Chechen
chf	Tabasco Chontal	Chontal, Tabasco
chg	Chagatai	Chagatai
chh	Chinook	Chinook
chj	Ojitlán Chinantec	Chinantec, Ojitlán
chk	Chuukese	Chuukese
chl	Cahuilla	Cahuilla
chm	Mari (Russia)	Mari (Russia)
chn	Chinook jargon	Chinook jargon
cho	Choctaw	Choctaw
chp	Chipewyan	Chipewyan
chp	Dene Suline	Dene Suline
chq	Quiotepec Chinantec	Chinantec, Quiotepec
chr	Cherokee	Cherokee
cht	Cholón	Cholón
chu	Church Slavic	Slavic, Church
chu	Church Slavonic	Slavonic, Church
chu	Old Bulgarian	Bulgarian, Old
chu	Old Church Slavonic	Slavonic, Old Church
chu	Old Slavonic	Slavonic, Old
chv	Chuvash	Chuvash
chw	Chuwa
